,satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department,salary
39,0.35164836,0.28125,0.0,0.26168224,0.125,0.0,1.0,0.0,technical,low
40,0.85714287,0.8125,0.6,0.80841124,0.375,0.0,1.0,0.0,technical,low
41,0.3956044,0.1875,0.0,0.2897196,0.125,0.0,1.0,0.0,technical,low
42,0.34065935,0.15625,0.0,0.1448598,0.125,0.0,1.0,0.0,technical,low
43,0.010989011,0.6875,1.0,0.864486,0.25,0.0,1.0,0.0,technical,low
44,0.0,0.828125,0.8,0.8411215,0.25,0.0,1.0,0.0,technical,low
45,0.82417583,0.59375,0.2,0.40186915,0.25,0.0,1.0,0.0,technical,low
46,0.34065935,0.296875,0.0,0.23831776,0.125,0.0,1.0,0.0,support,low
47,0.52747256,0.53125,0.2,0.8271028,0.5,0.0,1.0,0.0,support,low
48,0.34065935,0.28125,0.0,0.24299066,0.125,0.0,1.0,0.0,support,low
49,0.37362638,0.171875,0.0,0.23831776,0.125,0.0,1.0,0.0,support,low
50,0.043956045,0.65625,0.8,0.26168224,0.0,0.0,1.0,0.0,support,low
51,0.3846154,0.296875,0.0,0.18224299,0.125,0.0,1.0,0.0,support,low
52,0.31868133,0.296875,0.0,0.17757009,0.125,0.0,1.0,0.0,support,low
53,0.32967034,0.28125,0.0,0.1682243,0.125,0.0,1.0,0.0,support,low
54,0.010989011,0.875,1.0,0.9859813,0.25,0.0,1.0,0.0,support,low
55,0.30769232,0.15625,0.0,0.20560747,0.125,0.0,1.0,0.0,support,low
56,0.021978023,0.90625,1.0,0.7429907,0.25,0.0,1.0,0.0,support,low
57,0.010989011,0.703125,0.8,0.9953271,0.25,0.0,1.0,0.0,technical,low
58,0.31868133,0.28125,0.0,0.1495327,0.125,0.0,1.0,0.0,technical,low
59,0.83516484,1.0,0.4,0.60280377,0.375,0.0,1.0,0.0,technical,low
60,0.83516484,0.859375,0.6,0.60747665,0.375,0.0,1.0,0.0,management,medium
61,0.021978023,0.890625,1.0,0.99065423,0.25,0.0,1.0,0.0,IT,medium
62,0.010989011,0.921875,0.8,0.69158876,0.375,0.0,1.0,0.0,IT,medium
63,0.2967033,0.3125,0.0,0.1682243,0.125,0.0,1.0,0.0,IT,medium
64,0.021978023,0.90625,0.8,0.88785046,0.25,0.0,1.0,0.0,IT,medium
65,0.7912088,0.53125,0.8,0.30373833,0.25,0.0,1.0,0.0,IT,medium
66,0.37362638,0.28125,0.0,0.26635513,0.125,0.0,1.0,0.0,product_mng,medium
67,0.8901099,0.96875,0.4,0.78504676,0.5,0.0,1.0,0.0,product_mng,medium
68,0.73626375,0.78125,0.6,0.59345794,0.375,1.0,1.0,0.0,product_mng,medium
69,0.37362638,0.21875,0.0,0.18224299,0.125,0.0,1.0,0.0,product_mng,medium
70,0.71428573,0.984375,0.0,0.8457944,0.125,0.0,1.0,0.0,IT,medium
71,0.0,0.640625,0.6,0.8364486,0.25,0.0,1.0,0.0,product_mng,medium
72,0.3956044,0.203125,0.0,0.24766356,0.125,0.0,1.0,0.0,product_mng,high
73,0.0,0.796875,1.0,0.92990655,0.25,0.0,1.0,0.0,product_mng,low
74,0.021978023,0.953125,0.8,0.8457944,0.25,0.0,1.0,0.0,product_mng,medium
75,0.021978023,0.671875,1.0,0.9813084,0.25,0.0,1.0,0.0,product_mng,medium
76,0.010989011,0.734375,0.8,0.92990655,0.25,0.0,1.0,0.0,product_mng,medium
77,0.34065935,0.28125,0.0,0.19158879,0.125,0.0,1.0,0.0,marketing,medium
78,0.37362638,0.3125,0.0,0.28504673,0.125,0.0,1.0,0.0,sales,low
79,0.32967034,0.3125,0.0,0.21495327,0.125,0.0,1.0,0.0,accounting,low
80,0.3956044,0.28125,0.0,0.20560747,0.125,0.0,1.0,0.0,support,low
81,0.31868133,0.203125,0.0,0.25700936,0.125,0.0,1.0,0.0,technical,low
82,0.7692308,0.359375,0.4,0.20093457,0.125,0.0,1.0,1.0,management,low
83,0.82417583,0.765625,0.4,0.71495324,0.5,0.0,1.0,0.0,marketing,low
84,0.021978023,0.640625,0.8,0.91121495,0.25,0.0,1.0,0.0,marketing,low
85,0.021978023,0.796875,0.8,0.9766355,0.25,0.0,1.0,0.0,marketing,low
86,0.08791209,0.75,0.6,0.635514,0.125,0.0,1.0,0.0,sales,low
87,0.3846154,0.140625,0.0,0.1682243,0.125,0.0,1.0,0.0,sales,low
88,0.30769232,0.328125,0.0,0.1588785,0.125,0.0,1.0,0.0,sales,low
89,0.010989011,0.671875,0.8,0.91121495,0.25,0.0,1.0,0.0,sales,low
90,0.34065935,0.21875,0.0,0.1588785,0.125,0.0,1.0,0.0,sales,low
91,0.8791209,1.0,0.6,0.7009346,0.375,0.0,1.0,0.0,sales,low
92,0.36263737,0.1875,0.0,0.21962617,0.125,0.0,1.0,0.0,sales,low
93,0.4065934,0.296875,0.0,0.1542056,0.125,0.0,1.0,0.0,sales,low
94,0.0,0.734375,0.8,0.7429907,0.25,0.0,1.0,0.0,sales,low
95,0.30769232,0.234375,0.0,0.27570093,0.125,0.0,1.0,0.0,sales,low
96,0.010989011,0.640625,0.8,0.78971964,0.25,0.0,1.0,0.0,sales,low
97,0.010989011,0.75,0.8,0.8551402,0.25,0.0,1.0,0.0,sales,low
98,0.021978023,0.953125,0.8,0.8785047,0.25,0.0,1.0,0.0,sales,low
99,0.8901099,1.0,0.6,0.58411217,0.5,0.0,1.0,0.0,sales,medium
100,0.31868133,0.25,0.0,0.27102804,0.125,0.0,1.0,0.0,sales,medium
101,0.2967033,0.25,0.0,0.23831776,0.125,0.0,1.0,0.0,sales,medium
102,0.36263737,0.15625,0.0,0.25233644,0.125,0.0,1.0,0.0,sales,medium
103,0.0,0.90625,1.0,0.7990654,0.25,0.0,1.0,0.0,sales,medium
104,0.37362638,0.25,0.0,0.2897196,0.125,0.0,1.0,0.0,sales,medium
105,0.16483517,0.15625,1.0,0.5981308,0.375,0.0,1.0,0.0,accounting,medium
106,0.9010989,1.0,0.4,0.75233644,0.375,0.0,1.0,0.0,accounting,medium
107,0.3846154,0.21875,0.0,0.24299066,0.125,0.0,1.0,0.0,accounting,medium
108,0.6813187,0.796875,0.2,0.37850466,0.25,0.0,1.0,0.0,hr,medium
109,0.34065935,0.203125,0.0,0.27570093,0.125,0.0,1.0,0.0,hr,medium
110,0.37362638,0.171875,0.0,0.22429906,0.125,0.0,1.0,0.0,hr,medium
111,0.0,0.765625,0.8,0.9018692,0.25,0.0,1.0,0.0,hr,high
112,0.37362638,0.25,0.0,0.2990654,0.125,0.0,1.0,0.0,technical,low
113,0.8901099,0.9375,0.4,0.7570093,0.375,0.0,1.0,0.0,technical,medium
114,0.82417583,1.0,0.6,0.6448598,0.375,0.0,1.0,0.0,technical,medium
115,0.30769232,0.1875,0.0,0.19158879,0.125,0.0,1.0,0.0,technical,medium
116,0.84615386,0.5,0.6,0.7803738,0.0,0.0,1.0,0.0,technical,medium
117,0.021978023,0.75,0.8,0.7242991,0.25,0.0,1.0,0.0,technical,low
118,0.30769232,0.328125,0.0,0.17289719,0.125,0.0,1.0,0.0,technical,low
119,0.34065935,0.15625,0.0,0.1682243,0.125,0.0,1.0,0.0,technical,low
120,0.054945055,0.40625,0.4,0.2897196,0.25,1.0,1.0,0.0,technical,low
121,0.34065935,0.15625,0.0,0.18224299,0.125,0.0,1.0,0.0,technical,low
122,0.72527474,1.0,0.4,0.5607477,0.5,0.0,1.0,0.0,technical,low
123,0.021978023,0.75,0.8,0.95327103,0.375,1.0,1.0,0.0,support,low
124,0.4065934,0.203125,0.0,0.19626169,0.125,0.0,1.0,0.0,support,low
125,0.021978023,0.875,0.8,0.76635516,0.25,0.0,1.0,0.0,support,low
126,0.31868133,0.203125,0.0,0.1682243,0.125,0.0,1.0,0.0,support,low
127,0.6703297,0.828125,0.2,0.40654206,0.375,0.0,1.0,0.0,support,low
128,0.0,0.71875,0.8,0.7196262,0.25,0.0,1.0,0.0,support,low
129,0.30769232,0.140625,0.0,0.25700936,0.125,0.0,1.0,0.0,support,low
130,0.010989011,0.734375,0.8,0.91588783,0.25,0.0,1.0,0.0,support,low
131,0.31868133,0.328125,0.0,0.20560747,0.125,0.0,1.0,0.0,support,low
132,0.8901099,1.0,0.6,0.58411217,0.375,0.0,1.0,0.0,support,low
133,0.3846154,0.234375,0.0,0.19626169,0.125,0.0,1.0,0.0,support,low
134,0.2967033,0.21875,0.0,0.1682243,0.125,0.0,1.0,0.0,technical,low
135,0.24175824,0.75,1.0,0.17289719,0.375,0.0,1.0,0.0,technical,low
136,0.010989011,0.75,0.8,0.87383175,0.25,1.0,1.0,0.0,technical,low
137,0.36263737,0.1875,0.0,0.1542056,0.125,0.0,1.0,0.0,management,low
138,0.71428573,1.0,0.4,0.71495324,0.375,0.0,1.0,0.0,IT,low
139,0.7032967,0.796875,0.6,0.75233644,0.375,0.0,1.0,0.0,IT,low
140,0.0,0.9375,0.8,0.6962617,0.25,0.0,1.0,0.0,IT,low
141,0.3956044,0.265625,0.0,0.27570093,0.125,0.0,1.0,0.0,IT,low
142,0.021978023,0.6875,0.8,0.74766356,0.25,0.0,1.0,0.0,IT,low
143,0.30769232,0.171875,0.0,0.26168224,0.125,0.0,1.0,0.0,product_mng,low
144,0.82417583,0.984375,0.4,0.7990654,0.375,0.0,1.0,0.0,product_mng,low
145,0.35164836,0.15625,0.0,0.25700936,0.125,0.0,1.0,0.0,product_mng,low
146,0.73626375,0.875,0.4,0.6682243,0.375,0.0,1.0,0.0,product_mng,low
147,0.021978023,0.796875,0.8,0.9813084,0.25,0.0,1.0,0.0,IT,low
148,0.82417583,0.8125,0.4,0.7803738,0.375,1.0,1.0,0.0,marketing,low
149,0.32967034,0.21875,0.0,0.23831776,0.125,0.0,1.0,0.0,marketing,low
150,0.021978023,0.859375,0.8,0.85046726,0.25,0.0,1.0,0.0,marketing,low
151,0.3956044,0.3125,0.0,0.27102804,0.125,0.0,1.0,0.0,marketing,low
152,0.30769232,0.25,0.0,0.21962617,0.125,0.0,1.0,0.0,marketing,low
153,0.34065935,0.25,0.0,0.27570093,0.125,0.0,1.0,0.0,marketing,low
154,0.32967034,0.1875,0.0,0.2990654,0.125,0.0,1.0,0.0,sales,low
155,0.021978023,0.6875,0.8,0.97196263,0.25,0.0,1.0,0.0,accounting,low
156,0.8131868,1.0,0.6,0.6728972,0.375,0.0,1.0,0.0,support,low
157,0.021978023,0.875,0.8,0.9766355,0.25,0.0,1.0,0.0,technical,low
158,0.32967034,0.21875,0.0,0.18691589,0.125,0.0,1.0,0.0,management,low
159,0.3956044,0.140625,0.0,0.1682243,0.125,0.0,1.0,0.0,marketing,low
160,0.010989011,0.921875,1.0,0.9579439,0.25,0.0,1.0,0.0,marketing,low
161,0.8901099,0.96875,0.6,0.6869159,0.5,0.0,1.0,0.0,marketing,low
162,0.3956044,0.234375,0.0,0.23831776,0.125,0.0,1.0,0.0,sales,low
163,0.7692308,0.828125,0.6,0.6682243,0.375,0.0,1.0,0.0,sales,low
164,0.8901099,0.984375,0.6,0.76635516,0.375,0.0,1.0,0.0,sales,low
165,0.021978023,0.75,1.0,0.93457943,0.25,0.0,1.0,0.0,sales,low
166,0.37362638,0.296875,0.0,0.1542056,0.125,0.0,1.0,0.0,sales,low
167,0.24175824,0.28125,0.6,0.1682243,0.375,0.0,1.0,0.0,sales,low
168,0.25274727,0.21875,0.0,0.18224299,0.375,0.0,1.0,0.0,sales,low
169,0.3956044,0.328125,0.0,0.2897196,0.125,0.0,1.0,0.0,sales,low
170,0.7912088,0.984375,0.4,0.7616823,0.375,0.0,1.0,0.0,sales,low
171,0.35164836,0.15625,0.0,0.2990654,0.125,0.0,1.0,1.0,sales,low
172,0.021978023,0.65625,1.0,0.85046726,0.25,0.0,1.0,0.0,sales,low
173,0.010989011,0.8125,0.8,0.8785047,0.25,0.0,1.0,0.0,sales,low
174,0.6703297,0.265625,0.0,0.8317757,0.25,0.0,1.0,0.0,sales,low
175,0.4945055,0.59375,0.4,0.317757,0.0,0.0,1.0,0.0,sales,low
176,0.35164836,0.1875,0.0,0.24299066,0.125,0.0,1.0,0.0,sales,low
177,0.31868133,0.21875,0.0,0.20560747,0.125,0.0,1.0,0.0,sales,medium
178,0.30769232,0.234375,0.0,0.1448598,0.125,0.0,1.0,0.0,sales,medium
179,0.021978023,0.765625,0.8,0.99065423,0.375,0.0,1.0,0.0,sales,medium
180,0.34065935,0.171875,0.0,0.23364486,0.125,0.0,1.0,0.0,sales,medium
181,0.010989011,0.75,0.8,0.77102804,0.25,0.0,1.0,0.0,accounting,medium
182,0.8791209,0.984375,0.6,0.75233644,0.375,0.0,1.0,0.0,accounting,medium
183,0.021978023,0.6875,0.8,0.8831776,0.25,0.0,1.0,0.0,accounting,medium
184,0.2967033,0.296875,0.0,0.21028037,0.125,0.0,1.0,0.0,hr,medium
185,0.34065935,0.15625,0.0,0.1448598,0.125,0.0,1.0,0.0,hr,medium
186,0.0,0.765625,0.8,0.9392523,0.25,0.0,1.0,0.0,hr,medium
187,0.34065935,0.15625,0.0,0.21962617,0.125,0.0,1.0,0.0,hr,medium
188,0.30769232,0.296875,0.0,0.26168224,0.125,0.0,1.0,0.0,technical,medium
189,0.3846154,0.234375,0.0,0.28037384,0.125,0.0,1.0,0.0,technical,high
190,0.0,0.6875,1.0,0.87383175,0.375,0.0,1.0,0.0,technical,low
191,0.9120879,0.796875,0.4,0.60747665,0.5,1.0,1.0,0.0,technical,medium
192,0.71428573,0.859375,0.4,0.635514,0.375,0.0,1.0,0.0,technical,medium
193,0.0,0.71875,0.8,0.71495324,0.25,0.0,1.0,0.0,technical,medium
194,0.8791209,0.921875,0.4,0.8364486,0.375,0.0,1.0,0.0,technical,medium
195,0.0,0.6875,0.8,0.97196263,0.25,0.0,1.0,0.0,technical,low
196,0.1978022,0.28125,1.0,0.85046726,0.125,0.0,1.0,0.0,technical,low
197,0.010989011,0.859375,0.8,0.89252335,0.25,0.0,1.0,0.0,technical,low
198,0.010989011,0.828125,1.0,0.8831776,0.25,0.0,1.0,0.0,technical,low
199,0.74725276,0.90625,0.6,0.60747665,0.5,0.0,1.0,0.0,support,low
200,0.8901099,0.71875,0.6,0.7616823,0.375,0.0,1.0,0.0,support,low
201,0.32967034,0.21875,0.0,0.18224299,0.125,0.0,1.0,0.0,support,low
202,0.73626375,1.0,0.6,0.57476634,0.375,0.0,1.0,0.0,support,low
203,0.010989011,0.890625,0.8,0.74766356,0.25,0.0,1.0,0.0,support,low
204,0.85714287,0.84375,0.6,0.7383177,0.5,0.0,1.0,0.0,support,low
205,0.31868133,0.21875,0.0,0.26635513,0.125,0.0,1.0,0.0,support,low
206,0.74725276,0.984375,0.6,0.6168224,0.375,0.0,1.0,0.0,support,low
207,0.7582418,0.796875,0.4,0.6168224,0.375,0.0,1.0,0.0,support,low
208,0.3846154,0.21875,0.0,0.1495327,0.125,0.0,1.0,0.0,support,low
209,0.31868133,0.25,0.0,0.26635513,0.125,0.0,1.0,0.0,support,low
210,0.37362638,0.15625,0.0,0.28037384,0.125,0.0,1.0,0.0,technical,low
211,0.32967034,0.21875,0.4,0.92523366,0.125,0.0,1.0,0.0,technical,low
212,0.8681319,1.0,0.6,0.57476634,0.375,0.0,1.0,0.0,technical,low
213,0.3956044,0.15625,0.0,0.26635513,0.125,0.0,1.0,0.0,management,low
214,0.34065935,0.265625,0.0,0.25700936,0.125,0.0,1.0,0.0,IT,low
215,0.2967033,0.234375,0.0,0.27570093,0.125,0.0,1.0,0.0,IT,low
216,0.2967033,0.1875,0.0,0.2897196,0.125,0.0,1.0,0.0,IT,low
217,0.8901099,0.96875,0.6,0.6962617,0.375,0.0,1.0,0.0,IT,low
218,0.37362638,0.265625,0.0,0.1635514,0.125,0.0,1.0,0.0,IT,low
219,0.8791209,0.796875,0.6,0.60280377,0.375,0.0,1.0,0.0,product_mng,low
220,0.010989011,0.75,0.8,0.88785046,0.25,0.0,1.0,0.0,product_mng,low
221,0.30769232,0.21875,0.0,0.18224299,0.125,0.0,1.0,0.0,product_mng,low
222,0.30769232,0.234375,0.0,0.26635513,0.125,0.0,1.0,0.0,product_mng,low
223,0.85714287,0.84375,0.6,0.72897196,0.375,0.0,1.0,0.0,IT,low
224,0.34065935,0.3125,0.0,0.24766356,0.125,0.0,1.0,0.0,accounting,low
225,0.8901099,0.953125,0.4,0.7570093,0.375,0.0,1.0,0.0,accounting,low
226,0.30769232,0.15625,0.0,0.2897196,0.125,0.0,1.0,0.0,hr,low
227,0.3846154,0.28125,0.0,0.24766356,0.125,0.0,1.0,0.0,hr,low
228,0.83516484,0.921875,0.6,0.6542056,0.375,0.0,1.0,0.0,hr,low
229,0.7582418,0.96875,0.6,0.6682243,0.5,0.0,1.0,0.0,marketing,low
230,0.36263737,0.171875,0.0,0.29439253,0.125,0.0,1.0,0.0,marketing,low
231,0.9120879,0.984375,0.6,0.7429907,0.5,0.0,1.0,0.0,sales,low
232,0.021978023,0.734375,0.8,0.69158876,0.25,0.0,1.0,0.0,accounting,low
233,0.36263737,0.3125,0.0,0.17757009,0.125,0.0,1.0,0.0,support,low
234,0.42857143,0.328125,0.4,0.8130841,0.25,0.0,1.0,0.0,technical,low
235,0.8131868,0.765625,0.4,0.7429907,0.375,0.0,1.0,0.0,management,low
236,0.34065935,0.265625,0.0,0.25700936,0.125,0.0,1.0,0.0,marketing,low
237,0.37362638,0.140625,0.0,0.18224299,0.125,0.0,1.0,0.0,marketing,low
238,0.37362638,0.265625,0.0,0.23364486,0.125,0.0,1.0,0.0,marketing,low
239,0.010989011,0.953125,1.0,0.7383177,0.25,0.0,1.0,0.0,sales,low
240,0.010989011,0.796875,1.0,0.9018692,0.25,0.0,1.0,0.0,sales,low
241,0.30769232,0.15625,0.0,0.28037384,0.125,0.0,1.0,0.0,sales,low
242,0.31868133,0.265625,0.0,0.28037384,0.125,0.0,1.0,0.0,sales,low
243,0.34065935,0.21875,0.0,0.1495327,0.125,0.0,1.0,0.0,sales,low
244,0.8791209,0.78125,0.6,0.8364486,0.375,0.0,1.0,0.0,sales,low
245,0.3956044,0.15625,0.0,0.27570093,0.125,0.0,1.0,0.0,sales,low
246,0.30769232,0.1875,0.0,0.29439253,0.125,0.0,1.0,0.0,sales,low
247,0.4065934,0.203125,0.0,0.24299066,0.125,0.0,1.0,0.0,sales,low
248,0.85714287,0.859375,0.4,0.6168224,0.375,0.0,1.0,0.0,sales,low
249,0.021978023,0.75,0.8,0.94392526,0.25,0.0,1.0,0.0,sales,low
250,0.7692308,0.796875,0.6,0.77102804,0.375,0.0,1.0,0.0,sales,low
251,0.7692308,0.875,0.6,0.7383177,0.5,0.0,1.0,0.0,sales,low
252,0.10989011,0.359375,1.0,0.44859812,0.125,0.0,1.0,0.0,sales,low
253,0.85714287,0.96875,0.4,0.71028036,0.375,0.0,1.0,0.0,sales,low
254,0.5604396,0.875,0.0,0.7570093,0.375,0.0,1.0,0.0,sales,low
255,0.3846154,0.140625,0.0,0.28037384,0.125,0.0,1.0,0.0,sales,medium
256,0.021978023,0.703125,0.8,0.7943925,0.25,1.0,1.0,0.0,sales,medium
257,0.36263737,0.28125,0.0,0.28037384,0.125,0.0,1.0,0.0,sales,medium
258,0.8681319,0.8125,0.6,0.635514,0.375,1.0,1.0,0.0,accounting,medium
259,0.021978023,0.75,0.8,0.89252335,0.25,0.0,1.0,0.0,accounting,medium
260,0.4065934,0.15625,0.0,0.27102804,0.125,0.0,1.0,0.0,accounting,medium
261,0.8021978,0.953125,0.6,0.7803738,0.375,0.0,1.0,0.0,hr,medium
262,0.3846154,0.3125,0.0,0.1635514,0.125,0.0,1.0,0.0,hr,medium
263,0.021978023,0.65625,0.8,0.76635516,0.25,0.0,1.0,0.0,hr,medium
264,0.36263737,0.21875,0.0,0.20093457,0.125,0.0,1.0,0.0,hr,medium
265,0.82417583,0.890625,0.4,0.7242991,0.375,0.0,1.0,0.0,technical,medium
266,0.021978023,0.921875,0.8,0.88785046,0.25,0.0,1.0,0.0,technical,medium
267,0.3956044,0.265625,0.0,0.1542056,0.125,0.0,1.0,0.0,technical,high
268,0.31868133,0.3125,0.0,0.28037384,0.125,0.0,1.0,0.0,technical,low
269,0.31868133,0.78125,0.8,0.20093457,0.5,0.0,1.0,0.0,technical,medium
270,0.3846154,0.234375,0.0,0.1448598,0.125,0.0,1.0,0.0,technical,medium
271,0.021978023,0.75,0.8,0.7242991,0.25,0.0,1.0,0.0,technical,medium
272,0.7912088,0.890625,0.6,0.8130841,0.375,0.0,1.0,0.0,technical,medium
273,0.0,0.9375,0.8,0.93457943,0.25,0.0,1.0,0.0,technical,low
274,0.021978023,0.84375,0.8,0.7383177,0.25,0.0,1.0,0.0,technical,low
275,0.7912088,0.921875,0.6,0.6635514,0.5,0.0,1.0,0.0,technical,low
276,0.010989011,0.953125,0.8,0.7990654,0.25,1.0,1.0,0.0,support,low
277,0.71428573,0.828125,0.6,0.6214953,0.5,0.0,1.0,0.0,support,low
278,0.0,0.65625,0.8,0.7383177,0.25,0.0,1.0,0.0,support,low
279,0.8021978,0.703125,0.4,0.6401869,0.25,1.0,1.0,0.0,support,low
280,0.010989011,0.96875,0.8,0.8037383,0.25,0.0,1.0,0.0,support,low
281,0.1978022,0.3125,0.2,0.9579439,0.125,0.0,1.0,0.0,support,low
282,0.8131868,0.875,0.6,0.7990654,0.5,0.0,1.0,0.0,support,low
283,0.010989011,0.890625,0.8,0.9018692,0.25,1.0,1.0,0.0,support,low
284,0.31868133,0.171875,0.0,0.22429906,0.125,0.0,1.0,0.0,support,low
285,0.34065935,0.3125,0.0,0.24299066,0.125,0.0,1.0,0.0,support,low
286,0.021978023,0.734375,0.8,0.9813084,0.25,0.0,1.0,0.0,support,low
287,0.021978023,0.671875,0.8,0.91588783,0.25,0.0,1.0,1.0,technical,low
288,0.8021978,0.859375,0.6,0.635514,0.375,0.0,1.0,0.0,technical,low
289,0.2967033,0.1875,0.0,0.19158879,0.125,0.0,1.0,0.0,technical,low
290,0.34065935,0.15625,0.0,0.1495327,0.125,0.0,1.0,0.0,management,low
291,0.85714287,0.75,0.6,0.63084114,0.375,0.0,1.0,0.0,IT,low
292,0.35164836,0.203125,0.0,0.23364486,0.125,0.0,1.0,0.0,IT,low
293,0.021978023,0.859375,0.8,0.99065423,0.25,1.0,1.0,0.0,IT,low
294,0.010989011,0.890625,0.8,0.73364484,0.25,0.0,1.0,0.0,IT,medium
295,0.31868133,0.234375,0.0,0.23364486,0.125,0.0,1.0,0.0,IT,medium
296,0.32967034,0.296875,0.0,0.28037384,0.125,0.0,1.0,0.0,product_mng,medium
297,0.34065935,0.25,0.0,0.23831776,0.125,0.0,1.0,0.0,product_mng,medium
298,0.3956044,0.1875,0.0,0.18691589,0.125,0.0,1.0,0.0,product_mng,medium
299,0.71428573,0.75,0.6,0.71495324,0.375,0.0,1.0,0.0,product_mng,medium
300,0.3956044,0.296875,0.0,0.25700936,0.125,0.0,1.0,0.0,IT,medium
301,0.032967035,1.0,0.2,0.85046726,0.25,0.0,1.0,0.0,RandD,medium
302,0.010989011,0.640625,1.0,0.7196262,0.375,0.0,1.0,0.0,RandD,medium
303,0.30769232,0.296875,0.0,0.1448598,0.125,0.0,1.0,0.0,RandD,medium
304,0.8791209,0.796875,0.6,0.7429907,0.375,0.0,1.0,0.0,RandD,medium
305,0.3956044,0.171875,0.0,0.18224299,0.125,0.0,1.0,0.0,RandD,medium
306,0.30769232,0.15625,0.0,0.24766356,0.125,0.0,1.0,0.0,marketing,high
307,0.021978023,0.703125,0.6,0.89252335,0.25,0.0,1.0,0.0,sales,low
308,0.35164836,0.1875,0.0,0.22897196,0.125,0.0,1.0,0.0,accounting,medium
309,0.010989011,0.90625,0.8,0.8831776,0.25,0.0,1.0,0.0,support,medium
310,0.010989011,0.890625,1.0,0.9766355,0.25,0.0,1.0,0.0,technical,medium
311,0.021978023,0.921875,1.0,0.95327103,0.25,0.0,1.0,0.0,management,medium
312,0.34065935,0.28125,0.0,0.20093457,0.125,0.0,1.0,0.0,marketing,low
313,0.35164836,0.203125,0.0,0.1588785,0.125,0.0,1.0,0.0,marketing,low
314,0.010989011,0.703125,0.8,0.8037383,0.25,0.0,1.0,0.0,marketing,low
