,satisfaction,evaluation,number_of_projects,average_montly_hours,time_spend_company,work_accident,churn,promotion,department
65,0.7912088,0.53125,0.8,0.30373833,0.25,0.0,1.0,0.0,IT
66,0.37362638,0.28125,0.0,0.26635513,0.125,0.0,1.0,0.0,product_mng
67,0.8901099,0.96875,0.4,0.78504676,0.5,0.0,1.0,0.0,product_mng
68,0.73626375,0.78125,0.6,0.59345794,0.375,1.0,1.0,0.0,product_mng
69,0.37362638,0.21875,0.0,0.18224299,0.125,0.0,1.0,0.0,product_mng
70,0.71428573,0.984375,0.0,0.8457944,0.125,0.0,1.0,0.0,IT
71,0.0,0.640625,0.6,0.8364486,0.25,0.0,1.0,0.0,product_mng
72,0.3956044,0.203125,0.0,0.24766356,0.125,0.0,1.0,0.0,product_mng
73,0.0,0.796875,1.0,0.92990655,0.25,0.0,1.0,0.0,product_mng
74,0.021978023,0.953125,0.8,0.8457944,0.25,0.0,1.0,0.0,product_mng
75,0.021978023,0.671875,1.0,0.9813084,0.25,0.0,1.0,0.0,product_mng
76,0.010989011,0.734375,0.8,0.92990655,0.25,0.0,1.0,0.0,product_mng
77,0.34065935,0.28125,0.0,0.19158879,0.125,0.0,1.0,0.0,marketing
78,0.37362638,0.3125,0.0,0.28504673,0.125,0.0,1.0,0.0,sales
79,0.32967034,0.3125,0.0,0.21495327,0.125,0.0,1.0,0.0,accounting
80,0.3956044,0.28125,0.0,0.20560747,0.125,0.0,1.0,0.0,support
81,0.31868133,0.203125,0.0,0.25700936,0.125,0.0,1.0,0.0,technical
82,0.7692308,0.359375,0.4,0.20093457,0.125,0.0,1.0,1.0,management
83,0.82417583,0.765625,0.4,0.71495324,0.5,0.0,1.0,0.0,marketing
84,0.021978023,0.640625,0.8,0.91121495,0.25,0.0,1.0,0.0,marketing
85,0.021978023,0.796875,0.8,0.9766355,0.25,0.0,1.0,0.0,marketing
86,0.08791209,0.75,0.6,0.635514,0.125,0.0,1.0,0.0,sales
87,0.3846154,0.140625,0.0,0.1682243,0.125,0.0,1.0,0.0,sales
88,0.30769232,0.328125,0.0,0.1588785,0.125,0.0,1.0,0.0,sales
89,0.010989011,0.671875,0.8,0.91121495,0.25,0.0,1.0,0.0,sales
90,0.34065935,0.21875,0.0,0.1588785,0.125,0.0,1.0,0.0,sales
91,0.8791209,1.0,0.6,0.7009346,0.375,0.0,1.0,0.0,sales
92,0.36263737,0.1875,0.0,0.21962617,0.125,0.0,1.0,0.0,sales
93,0.4065934,0.296875,0.0,0.1542056,0.125,0.0,1.0,0.0,sales
94,0.0,0.734375,0.8,0.7429907,0.25,0.0,1.0,0.0,sales
95,0.30769232,0.234375,0.0,0.27570093,0.125,0.0,1.0,0.0,sales
96,0.010989011,0.640625,0.8,0.78971964,0.25,0.0,1.0,0.0,sales
97,0.010989011,0.75,0.8,0.8551402,0.25,0.0,1.0,0.0,sales
98,0.021978023,0.953125,0.8,0.8785047,0.25,0.0,1.0,0.0,sales
99,0.8901099,1.0,0.6,0.58411217,0.5,0.0,1.0,0.0,sales
100,0.31868133,0.25,0.0,0.27102804,0.125,0.0,1.0,0.0,sales
101,0.2967033,0.25,0.0,0.23831776,0.125,0.0,1.0,0.0,sales
102,0.36263737,0.15625,0.0,0.25233644,0.125,0.0,1.0,0.0,sales
103,0.0,0.90625,1.0,0.7990654,0.25,0.0,1.0,0.0,sales
104,0.37362638,0.25,0.0,0.2897196,0.125,0.0,1.0,0.0,sales
105,0.16483517,0.15625,1.0,0.5981308,0.375,0.0,1.0,0.0,accounting
106,0.9010989,1.0,0.4,0.75233644,0.375,0.0,1.0,0.0,accounting
107,0.3846154,0.21875,0.0,0.24299066,0.125,0.0,1.0,0.0,accounting
108,0.6813187,0.796875,0.2,0.37850466,0.25,0.0,1.0,0.0,hr
109,0.34065935,0.203125,0.0,0.27570093,0.125,0.0,1.0,0.0,hr
110,0.37362638,0.171875,0.0,0.22429906,0.125,0.0,1.0,0.0,hr
111,0.0,0.765625,0.8,0.9018692,0.25,0.0,1.0,0.0,hr
112,0.37362638,0.25,0.0,0.2990654,0.125,0.0,1.0,0.0,technical
113,0.8901099,0.9375,0.4,0.7570093,0.375,0.0,1.0,0.0,technical
114,0.82417583,1.0,0.6,0.6448598,0.375,0.0,1.0,0.0,technical
115,0.30769232,0.1875,0.0,0.19158879,0.125,0.0,1.0,0.0,technical
116,0.84615386,0.5,0.6,0.7803738,0.0,0.0,1.0,0.0,technical
117,0.021978023,0.75,0.8,0.7242991,0.25,0.0,1.0,0.0,technical
118,0.30769232,0.328125,0.0,0.17289719,0.125,0.0,1.0,0.0,technical
119,0.34065935,0.15625,0.0,0.1682243,0.125,0.0,1.0,0.0,technical
120,0.054945055,0.40625,0.4,0.2897196,0.25,1.0,1.0,0.0,technical
121,0.34065935,0.15625,0.0,0.18224299,0.125,0.0,1.0,0.0,technical
122,0.72527474,1.0,0.4,0.5607477,0.5,0.0,1.0,0.0,technical
123,0.021978023,0.75,0.8,0.95327103,0.375,1.0,1.0,0.0,support
124,0.4065934,0.203125,0.0,0.19626169,0.125,0.0,1.0,0.0,support
125,0.021978023,0.875,0.8,0.76635516,0.25,0.0,1.0,0.0,support
126,0.31868133,0.203125,0.0,0.1682243,0.125,0.0,1.0,0.0,support
127,0.6703297,0.828125,0.2,0.40654206,0.375,0.0,1.0,0.0,support
128,0.0,0.71875,0.8,0.7196262,0.25,0.0,1.0,0.0,support
129,0.30769232,0.140625,0.0,0.25700936,0.125,0.0,1.0,0.0,support
130,0.010989011,0.734375,0.8,0.91588783,0.25,0.0,1.0,0.0,support
131,0.31868133,0.328125,0.0,0.20560747,0.125,0.0,1.0,0.0,support
132,0.8901099,1.0,0.6,0.58411217,0.375,0.0,1.0,0.0,support
133,0.3846154,0.234375,0.0,0.19626169,0.125,0.0,1.0,0.0,support
134,0.2967033,0.21875,0.0,0.1682243,0.125,0.0,1.0,0.0,technical
135,0.24175824,0.75,1.0,0.17289719,0.375,0.0,1.0,0.0,technical
136,0.010989011,0.75,0.8,0.87383175,0.25,1.0,1.0,0.0,technical
137,0.36263737,0.1875,0.0,0.1542056,0.125,0.0,1.0,0.0,management
138,0.71428573,1.0,0.4,0.71495324,0.375,0.0,1.0,0.0,IT
139,0.7032967,0.796875,0.6,0.75233644,0.375,0.0,1.0,0.0,IT
140,0.0,0.9375,0.8,0.6962617,0.25,0.0,1.0,0.0,IT
141,0.3956044,0.265625,0.0,0.27570093,0.125,0.0,1.0,0.0,IT
142,0.021978023,0.6875,0.8,0.74766356,0.25,0.0,1.0,0.0,IT
143,0.30769232,0.171875,0.0,0.26168224,0.125,0.0,1.0,0.0,product_mng
144,0.82417583,0.984375,0.4,0.7990654,0.375,0.0,1.0,0.0,product_mng
145,0.35164836,0.15625,0.0,0.25700936,0.125,0.0,1.0,0.0,product_mng
146,0.73626375,0.875,0.4,0.6682243,0.375,0.0,1.0,0.0,product_mng
147,0.021978023,0.796875,0.8,0.9813084,0.25,0.0,1.0,0.0,IT
148,0.82417583,0.8125,0.4,0.7803738,0.375,1.0,1.0,0.0,marketing
149,0.32967034,0.21875,0.0,0.23831776,0.125,0.0,1.0,0.0,marketing
150,0.021978023,0.859375,0.8,0.85046726,0.25,0.0,1.0,0.0,marketing
151,0.3956044,0.3125,0.0,0.27102804,0.125,0.0,1.0,0.0,marketing
152,0.30769232,0.25,0.0,0.21962617,0.125,0.0,1.0,0.0,marketing
153,0.34065935,0.25,0.0,0.27570093,0.125,0.0,1.0,0.0,marketing
154,0.32967034,0.1875,0.0,0.2990654,0.125,0.0,1.0,0.0,sales
155,0.021978023,0.6875,0.8,0.97196263,0.25,0.0,1.0,0.0,accounting
156,0.8131868,1.0,0.6,0.6728972,0.375,0.0,1.0,0.0,support
157,0.021978023,0.875,0.8,0.9766355,0.25,0.0,1.0,0.0,technical
158,0.32967034,0.21875,0.0,0.18691589,0.125,0.0,1.0,0.0,management
159,0.3956044,0.140625,0.0,0.1682243,0.125,0.0,1.0,0.0,marketing
160,0.010989011,0.921875,1.0,0.9579439,0.25,0.0,1.0,0.0,marketing
161,0.8901099,0.96875,0.6,0.6869159,0.5,0.0,1.0,0.0,marketing
162,0.3956044,0.234375,0.0,0.23831776,0.125,0.0,1.0,0.0,sales
163,0.7692308,0.828125,0.6,0.6682243,0.375,0.0,1.0,0.0,sales
164,0.8901099,0.984375,0.6,0.76635516,0.375,0.0,1.0,0.0,sales
165,0.021978023,0.75,1.0,0.93457943,0.25,0.0,1.0,0.0,sales
166,0.37362638,0.296875,0.0,0.1542056,0.125,0.0,1.0,0.0,sales
167,0.24175824,0.28125,0.6,0.1682243,0.375,0.0,1.0,0.0,sales
168,0.25274727,0.21875,0.0,0.18224299,0.375,0.0,1.0,0.0,sales
169,0.3956044,0.328125,0.0,0.2897196,0.125,0.0,1.0,0.0,sales
170,0.7912088,0.984375,0.4,0.7616823,0.375,0.0,1.0,0.0,sales
171,0.35164836,0.15625,0.0,0.2990654,0.125,0.0,1.0,1.0,sales
172,0.021978023,0.65625,1.0,0.85046726,0.25,0.0,1.0,0.0,sales
173,0.010989011,0.8125,0.8,0.8785047,0.25,0.0,1.0,0.0,sales
174,0.6703297,0.265625,0.0,0.8317757,0.25,0.0,1.0,0.0,sales
175,0.4945055,0.59375,0.4,0.317757,0.0,0.0,1.0,0.0,sales
176,0.35164836,0.1875,0.0,0.24299066,0.125,0.0,1.0,0.0,sales
177,0.31868133,0.21875,0.0,0.20560747,0.125,0.0,1.0,0.0,sales
178,0.30769232,0.234375,0.0,0.1448598,0.125,0.0,1.0,0.0,sales
179,0.021978023,0.765625,0.8,0.99065423,0.375,0.0,1.0,0.0,sales
180,0.34065935,0.171875,0.0,0.23364486,0.125,0.0,1.0,0.0,sales
181,0.010989011,0.75,0.8,0.77102804,0.25,0.0,1.0,0.0,accounting
182,0.8791209,0.984375,0.6,0.75233644,0.375,0.0,1.0,0.0,accounting
183,0.021978023,0.6875,0.8,0.8831776,0.25,0.0,1.0,0.0,accounting
184,0.2967033,0.296875,0.0,0.21028037,0.125,0.0,1.0,0.0,hr
185,0.34065935,0.15625,0.0,0.1448598,0.125,0.0,1.0,0.0,hr
186,0.0,0.765625,0.8,0.9392523,0.25,0.0,1.0,0.0,hr
187,0.34065935,0.15625,0.0,0.21962617,0.125,0.0,1.0,0.0,hr
188,0.30769232,0.296875,0.0,0.26168224,0.125,0.0,1.0,0.0,technical
189,0.3846154,0.234375,0.0,0.28037384,0.125,0.0,1.0,0.0,technical
190,0.0,0.6875,1.0,0.87383175,0.375,0.0,1.0,0.0,technical
191,0.9120879,0.796875,0.4,0.60747665,0.5,1.0,1.0,0.0,technical
192,0.71428573,0.859375,0.4,0.635514,0.375,0.0,1.0,0.0,technical
193,0.0,0.71875,0.8,0.71495324,0.25,0.0,1.0,0.0,technical
194,0.8791209,0.921875,0.4,0.8364486,0.375,0.0,1.0,0.0,technical
195,0.0,0.6875,0.8,0.97196263,0.25,0.0,1.0,0.0,technical
196,0.1978022,0.28125,1.0,0.85046726,0.125,0.0,1.0,0.0,technical
197,0.010989011,0.859375,0.8,0.89252335,0.25,0.0,1.0,0.0,technical
198,0.010989011,0.828125,1.0,0.8831776,0.25,0.0,1.0,0.0,technical
199,0.74725276,0.90625,0.6,0.60747665,0.5,0.0,1.0,0.0,support
200,0.8901099,0.71875,0.6,0.7616823,0.375,0.0,1.0,0.0,support
201,0.32967034,0.21875,0.0,0.18224299,0.125,0.0,1.0,0.0,support
202,0.73626375,1.0,0.6,0.57476634,0.375,0.0,1.0,0.0,support
203,0.010989011,0.890625,0.8,0.74766356,0.25,0.0,1.0,0.0,support
204,0.85714287,0.84375,0.6,0.7383177,0.5,0.0,1.0,0.0,support
205,0.31868133,0.21875,0.0,0.26635513,0.125,0.0,1.0,0.0,support
206,0.74725276,0.984375,0.6,0.6168224,0.375,0.0,1.0,0.0,support
207,0.7582418,0.796875,0.4,0.6168224,0.375,0.0,1.0,0.0,support
208,0.3846154,0.21875,0.0,0.1495327,0.125,0.0,1.0,0.0,support
209,0.31868133,0.25,0.0,0.26635513,0.125,0.0,1.0,0.0,support
210,0.37362638,0.15625,0.0,0.28037384,0.125,0.0,1.0,0.0,technical
211,0.32967034,0.21875,0.4,0.92523366,0.125,0.0,1.0,0.0,technical
212,0.8681319,1.0,0.6,0.57476634,0.375,0.0,1.0,0.0,technical
213,0.3956044,0.15625,0.0,0.26635513,0.125,0.0,1.0,0.0,management
214,0.34065935,0.265625,0.0,0.25700936,0.125,0.0,1.0,0.0,IT
215,0.2967033,0.234375,0.0,0.27570093,0.125,0.0,1.0,0.0,IT
216,0.2967033,0.1875,0.0,0.2897196,0.125,0.0,1.0,0.0,IT
217,0.8901099,0.96875,0.6,0.6962617,0.375,0.0,1.0,0.0,IT
218,0.37362638,0.265625,0.0,0.1635514,0.125,0.0,1.0,0.0,IT
219,0.8791209,0.796875,0.6,0.60280377,0.375,0.0,1.0,0.0,product_mng
220,0.010989011,0.75,0.8,0.88785046,0.25,0.0,1.0,0.0,product_mng
221,0.30769232,0.21875,0.0,0.18224299,0.125,0.0,1.0,0.0,product_mng
222,0.30769232,0.234375,0.0,0.26635513,0.125,0.0,1.0,0.0,product_mng
223,0.85714287,0.84375,0.6,0.72897196,0.375,0.0,1.0,0.0,IT
224,0.34065935,0.3125,0.0,0.24766356,0.125,0.0,1.0,0.0,accounting
225,0.8901099,0.953125,0.4,0.7570093,0.375,0.0,1.0,0.0,accounting
226,0.30769232,0.15625,0.0,0.2897196,0.125,0.0,1.0,0.0,hr
227,0.3846154,0.28125,0.0,0.24766356,0.125,0.0,1.0,0.0,hr
228,0.83516484,0.921875,0.6,0.6542056,0.375,0.0,1.0,0.0,hr
229,0.7582418,0.96875,0.6,0.6682243,0.5,0.0,1.0,0.0,marketing
230,0.36263737,0.171875,0.0,0.29439253,0.125,0.0,1.0,0.0,marketing
231,0.9120879,0.984375,0.6,0.7429907,0.5,0.0,1.0,0.0,sales
232,0.021978023,0.734375,0.8,0.69158876,0.25,0.0,1.0,0.0,accounting
233,0.36263737,0.3125,0.0,0.17757009,0.125,0.0,1.0,0.0,support
234,0.42857143,0.328125,0.4,0.8130841,0.25,0.0,1.0,0.0,technical
235,0.8131868,0.765625,0.4,0.7429907,0.375,0.0,1.0,0.0,management
236,0.34065935,0.265625,0.0,0.25700936,0.125,0.0,1.0,0.0,marketing
237,0.37362638,0.140625,0.0,0.18224299,0.125,0.0,1.0,0.0,marketing
238,0.37362638,0.265625,0.0,0.23364486,0.125,0.0,1.0,0.0,marketing
239,0.010989011,0.953125,1.0,0.7383177,0.25,0.0,1.0,0.0,sales
240,0.010989011,0.796875,1.0,0.9018692,0.25,0.0,1.0,0.0,sales
241,0.30769232,0.15625,0.0,0.28037384,0.125,0.0,1.0,0.0,sales
242,0.31868133,0.265625,0.0,0.28037384,0.125,0.0,1.0,0.0,sales
243,0.34065935,0.21875,0.0,0.1495327,0.125,0.0,1.0,0.0,sales
244,0.8791209,0.78125,0.6,0.8364486,0.375,0.0,1.0,0.0,sales
245,0.3956044,0.15625,0.0,0.27570093,0.125,0.0,1.0,0.0,sales
246,0.30769232,0.1875,0.0,0.29439253,0.125,0.0,1.0,0.0,sales
247,0.4065934,0.203125,0.0,0.24299066,0.125,0.0,1.0,0.0,sales
248,0.85714287,0.859375,0.4,0.6168224,0.375,0.0,1.0,0.0,sales
249,0.021978023,0.75,0.8,0.94392526,0.25,0.0,1.0,0.0,sales
250,0.7692308,0.796875,0.6,0.77102804,0.375,0.0,1.0,0.0,sales
251,0.7692308,0.875,0.6,0.7383177,0.5,0.0,1.0,0.0,sales
252,0.10989011,0.359375,1.0,0.44859812,0.125,0.0,1.0,0.0,sales
253,0.85714287,0.96875,0.4,0.71028036,0.375,0.0,1.0,0.0,sales
254,0.5604396,0.875,0.0,0.7570093,0.375,0.0,1.0,0.0,sales
255,0.3846154,0.140625,0.0,0.28037384,0.125,0.0,1.0,0.0,sales
256,0.021978023,0.703125,0.8,0.7943925,0.25,1.0,1.0,0.0,sales
257,0.36263737,0.28125,0.0,0.28037384,0.125,0.0,1.0,0.0,sales
258,0.8681319,0.8125,0.6,0.635514,0.375,1.0,1.0,0.0,accounting
259,0.021978023,0.75,0.8,0.89252335,0.25,0.0,1.0,0.0,accounting
260,0.4065934,0.15625,0.0,0.27102804,0.125,0.0,1.0,0.0,accounting
261,0.8021978,0.953125,0.6,0.7803738,0.375,0.0,1.0,0.0,hr
262,0.3846154,0.3125,0.0,0.1635514,0.125,0.0,1.0,0.0,hr
263,0.021978023,0.65625,0.8,0.76635516,0.25,0.0,1.0,0.0,hr
264,0.36263737,0.21875,0.0,0.20093457,0.125,0.0,1.0,0.0,hr
265,0.82417583,0.890625,0.4,0.7242991,0.375,0.0,1.0,0.0,technical
266,0.021978023,0.921875,0.8,0.88785046,0.25,0.0,1.0,0.0,technical
267,0.3956044,0.265625,0.0,0.1542056,0.125,0.0,1.0,0.0,technical
268,0.31868133,0.3125,0.0,0.28037384,0.125,0.0,1.0,0.0,technical
269,0.31868133,0.78125,0.8,0.20093457,0.5,0.0,1.0,0.0,technical
270,0.3846154,0.234375,0.0,0.1448598,0.125,0.0,1.0,0.0,technical
271,0.021978023,0.75,0.8,0.7242991,0.25,0.0,1.0,0.0,technical
272,0.7912088,0.890625,0.6,0.8130841,0.375,0.0,1.0,0.0,technical
273,0.0,0.9375,0.8,0.93457943,0.25,0.0,1.0,0.0,technical
274,0.021978023,0.84375,0.8,0.7383177,0.25,0.0,1.0,0.0,technical
275,0.7912088,0.921875,0.6,0.6635514,0.5,0.0,1.0,0.0,technical
276,0.010989011,0.953125,0.8,0.7990654,0.25,1.0,1.0,0.0,support
277,0.71428573,0.828125,0.6,0.6214953,0.5,0.0,1.0,0.0,support
278,0.0,0.65625,0.8,0.7383177,0.25,0.0,1.0,0.0,support
279,0.8021978,0.703125,0.4,0.6401869,0.25,1.0,1.0,0.0,support
280,0.010989011,0.96875,0.8,0.8037383,0.25,0.0,1.0,0.0,support
281,0.1978022,0.3125,0.2,0.9579439,0.125,0.0,1.0,0.0,support
282,0.8131868,0.875,0.6,0.7990654,0.5,0.0,1.0,0.0,support
283,0.010989011,0.890625,0.8,0.9018692,0.25,1.0,1.0,0.0,support
284,0.31868133,0.171875,0.0,0.22429906,0.125,0.0,1.0,0.0,support
285,0.34065935,0.3125,0.0,0.24299066,0.125,0.0,1.0,0.0,support
286,0.021978023,0.734375,0.8,0.9813084,0.25,0.0,1.0,0.0,support
287,0.021978023,0.671875,0.8,0.91588783,0.25,0.0,1.0,1.0,technical
288,0.8021978,0.859375,0.6,0.635514,0.375,0.0,1.0,0.0,technical
289,0.2967033,0.1875,0.0,0.19158879,0.125,0.0,1.0,0.0,technical
290,0.34065935,0.15625,0.0,0.1495327,0.125,0.0,1.0,0.0,management
291,0.85714287,0.75,0.6,0.63084114,0.375,0.0,1.0,0.0,IT
292,0.35164836,0.203125,0.0,0.23364486,0.125,0.0,1.0,0.0,IT
293,0.021978023,0.859375,0.8,0.99065423,0.25,1.0,1.0,0.0,IT
294,0.010989011,0.890625,0.8,0.73364484,0.25,0.0,1.0,0.0,IT
295,0.31868133,0.234375,0.0,0.23364486,0.125,0.0,1.0,0.0,IT
296,0.32967034,0.296875,0.0,0.28037384,0.125,0.0,1.0,0.0,product_mng
297,0.34065935,0.25,0.0,0.23831776,0.125,0.0,1.0,0.0,product_mng
298,0.3956044,0.1875,0.0,0.18691589,0.125,0.0,1.0,0.0,product_mng
299,0.71428573,0.75,0.6,0.71495324,0.375,0.0,1.0,0.0,product_mng
300,0.3956044,0.296875,0.0,0.25700936,0.125,0.0,1.0,0.0,IT
301,0.032967035,1.0,0.2,0.85046726,0.25,0.0,1.0,0.0,RandD
302,0.010989011,0.640625,1.0,0.7196262,0.375,0.0,1.0,0.0,RandD
303,0.30769232,0.296875,0.0,0.1448598,0.125,0.0,1.0,0.0,RandD
304,0.8791209,0.796875,0.6,0.7429907,0.375,0.0,1.0,0.0,RandD
305,0.3956044,0.171875,0.0,0.18224299,0.125,0.0,1.0,0.0,RandD
306,0.30769232,0.15625,0.0,0.24766356,0.125,0.0,1.0,0.0,marketing
307,0.021978023,0.703125,0.6,0.89252335,0.25,0.0,1.0,0.0,sales
308,0.35164836,0.1875,0.0,0.22897196,0.125,0.0,1.0,0.0,accounting
309,0.010989011,0.90625,0.8,0.8831776,0.25,0.0,1.0,0.0,support
310,0.010989011,0.890625,1.0,0.9766355,0.25,0.0,1.0,0.0,technical
311,0.021978023,0.921875,1.0,0.95327103,0.25,0.0,1.0,0.0,management
312,0.34065935,0.28125,0.0,0.20093457,0.125,0.0,1.0,0.0,marketing
313,0.35164836,0.203125,0.0,0.1588785,0.125,0.0,1.0,0.0,marketing
314,0.010989011,0.703125,0.8,0.8037383,0.25,0.0,1.0,0.0,marketing
315,0.7032967,0.78125,0.4,0.6962617,0.5,0.0,1.0,0.0,sales
316,0.37362638,0.171875,0.0,0.18224299,0.125,0.0,1.0,0.0,sales
317,0.30769232,0.15625,0.0,0.26635513,0.125,0.0,1.0,0.0,sales
318,0.021978023,0.90625,0.8,0.8411215,0.25,0.0,1.0,0.0,sales
319,0.34065935,0.15625,0.0,0.1588785,0.125,0.0,1.0,0.0,sales
320,0.35164836,0.28125,0.0,0.26635513,0.125,1.0,1.0,0.0,sales
321,0.8021978,0.75,0.6,0.69158876,0.375,0.0,1.0,0.0,sales
322,0.5714286,0.171875,0.0,0.73364484,0.125,0.0,1.0,0.0,sales
323,0.021978023,0.859375,1.0,0.89252335,0.25,0.0,1.0,0.0,sales
324,0.30769232,0.140625,0.0,0.1635514,0.125,0.0,1.0,0.0,sales
325,0.35164836,0.25,0.0,0.18224299,0.125,0.0,1.0,0.0,sales
326,0.30769232,0.25,0.0,0.28504673,0.125,0.0,1.0,0.0,sales
327,0.8681319,0.984375,0.6,0.7757009,0.5,0.0,1.0,0.0,sales
328,0.010989011,0.765625,0.8,0.7943925,0.25,0.0,1.0,0.0,sales
329,0.3846154,0.1875,0.0,0.24299066,0.125,0.0,1.0,0.0,sales
330,0.31868133,0.328125,0.0,0.20560747,0.125,0.0,1.0,0.0,sales
331,0.021978023,0.765625,1.0,0.9626168,0.25,0.0,1.0,0.0,sales
